year,BRA_region_forest,CAN_region_forest,CHN_region_forest,CIS_region_forest,IND_region_forest,JPN_region_forest,TUR_region_forest,USA_region_forest,XAF_region_forest,XE25_region_forest,XER_region_forest,XLM_region_forest,XME_region_forest,XNF_region_forest,XOC_region_forest,XSA_region_forest,XSE_region_forest
2005,0.914,0.897,0.781,0.850,0.541,0.742,0.175,0.826,0.754,0.611,0.739,0.766,0.342,0.621,0.510,0.722,0.817
2010,0.914,0.896,0.776,0.847,0.540,0.741,0.177,0.827,0.754,0.609,0.740,0.766,0.333,0.629,0.510,0.722,0.815
2020,0.914,0.896,0.770,0.847,0.540,0.741,0.177,0.826,0.758,0.605,0.740,0.767,0.321,0.604,0.509,0.724,0.816
2030,0.915,0.896,0.773,0.848,0.521,0.742,0.176,0.826,0.760,0.604,0.740,0.768,0.303,0.531,0.494,0.726,0.814
2040,0.915,0.896,0.779,0.848,0.508,0.743,0.176,0.825,0.761,0.604,0.739,0.768,0.283,0.473,0.473,0.725,0.810
2050,0.915,0.896,0.784,0.848,0.499,0.743,0.169,0.822,0.762,0.603,0.739,0.768,0.266,0.431,0.460,0.720,0.808
2060,0.916,0.897,0.788,0.847,0.493,0.743,0.163,0.816,0.762,0.602,0.739,0.768,0.260,0.417,0.439,0.711,0.807
2070,0.916,0.897,0.787,0.847,0.487,0.743,0.157,0.808,0.762,0.599,0.739,0.767,0.261,0.438,0.353,0.702,0.807
2080,0.913,0.897,0.785,0.846,0.481,0.743,0.153,0.800,0.761,0.596,0.738,0.767,0.252,0.458,0.340,0.701,0.806
2090,0.908,0.897,0.780,0.846,0.481,0.744,0.155,0.794,0.761,0.595,0.738,0.766,0.237,0.489,0.343,0.699,0.804
2100,0.903,0.897,0.772,0.846,0.483,0.744,0.149,0.789,0.763,0.594,0.738,0.766,0.208,0.511,0.343,0.698,0.803
