year,BRA_basin_grassland,CAN_basin_grassland,CHN_basin_grassland,CIS_basin_grassland,IND_basin_grassland,JPN_basin_grassland,TUR_basin_grassland,USA_basin_grassland,XAF_basin_grassland,XE25_basin_grassland,XER_basin_grassland,XLM_basin_grassland,XME_basin_grassland,XNF_basin_grassland,XOC_basin_grassland,XSA_basin_grassland,XSE_basin_grassland
2005,0.926,0.868,0.927,0.931,0.441,0.776,0.849,0.926,0.932,0.877,0.778,0.893,0.925,0.849,0.923,0.913,0.916
2010,0.926,0.868,0.927,0.931,0.441,0.776,0.849,0.926,0.932,0.877,0.778,0.893,0.925,0.849,0.923,0.913,0.916
2020,0.926,0.860,0.928,0.934,0.458,0.777,0.853,0.924,0.929,0.872,0.759,0.892,0.922,0.843,0.925,0.912,0.912
2030,0.928,0.849,0.923,0.931,0.513,0.777,0.849,0.920,0.921,0.867,0.758,0.889,0.915,0.846,0.924,0.908,0.910
2040,0.928,0.838,0.920,0.930,0.540,0.777,0.840,0.919,0.917,0.866,0.757,0.890,0.908,0.838,0.924,0.908,0.908
2050,0.926,0.799,0.913,0.929,0.578,0.777,0.833,0.918,0.918,0.863,0.758,0.892,0.902,0.835,0.924,0.912,0.908
2060,0.924,0.717,0.902,0.927,0.592,0.777,0.825,0.906,0.919,0.851,0.753,0.892,0.899,0.837,0.923,0.901,0.907
2070,0.919,0.626,0.885,0.924,0.607,0.777,0.816,0.882,0.920,0.835,0.753,0.892,0.899,0.837,0.922,0.875,0.906
2080,0.908,0.536,0.869,0.919,0.628,0.756,0.804,0.868,0.920,0.820,0.742,0.892,0.899,0.840,0.920,0.856,0.906
2090,0.872,0.450,0.875,0.917,0.614,0.724,0.795,0.847,0.921,0.802,0.730,0.893,0.898,0.842,0.920,0.833,0.905
2100,0.810,0.374,0.886,0.912,0.566,0.724,0.785,0.806,0.920,0.784,0.728,0.892,0.895,0.845,0.920,0.815,0.906
